Id,original
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0017.json,20240813_0028_Odyssey of the Fourteenth Infantry Regt..tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0129.json,0027_228-F-A_Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0083.json,20240423_0024_1277-Engineer-Batt_0001.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0095.json,"Antiaircraft-dispositions-Rhine-River-crossing-of-XV-Corps,-Seventh-United-States-Army,-26th-March-to-28th-March-1945.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0094.json,XIX-Corps-in-Action-from-Siegfried-Line-to-victory_a.tif|XIX-Corps-in-Action-from-Siegfried-Line-to-victory_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0016.json,20240813_0027_355th-Infantry-Regiment.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0041.json,0014_188th-Field-Artillery-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0104.json,"First-European-Civil-Affairs-REgiment-in-the-European-Theater-of-Operations,-1944---1945.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0057.json,20240418_0003_USS-Lexington.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0112.json,11th-Armored-G-2-after-action-report-April-1945_a.tif|11th-Armored-G-2-after-action-report-April-1945_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0132.json,20241003_003_89th Infantry Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0098.json,VII Corps.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0020.json,20240813_0031_1150-Engineer-Combat-Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0036.json,0020_70th-AIB.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0124.json,20240813_0043_696th-Armored-Field-Artillery-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0061.json,20240813_0039_The-Cactus-Route.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0108.json,"106th-Evacuation-Hospital,-Semi-Mobile,-activated---May-20,-1943,-arrived-in-France---July-18,-1944_1.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0074.json,20240419_0005_5-Suddenly-and-Violently.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0131.json,20241003_004_CCA20thArmdDiv.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0023.json,0017_31st-Engr-Combat-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0035.json,20240813_0023_13th-Armored-(Black-Cat)-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0062.json,20240813_0041_102nd-Infantry-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0127.json,20241003_007a_29th Infantry_1.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0019.json,20240813_0030_1109th-Engr-Combat-Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0058.json,20240813_0042_111th Engineer Combat Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0097.json,III Corps reference_edit.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0039.json,20240813_0011_202nd-Field-Artillery-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0081.json,20240423_0026_VIII-Corps_0001.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0015.json,0022_78th-Inf-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0107.json,42-Inf-Rainbow-Div_a.tif|42-Inf-Rainbow-Div_b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0042.json,20240813_0035_Route-of-B-Company-a.tif|20240813_0035_Route-of-B-Company-b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0111.json,"Major operations of the 25th Armored Engineer Battalion, 23 July 1944 - 8 May 1945_edit.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0054.json,20240813_0001_1120-Engineer-Combat-Group.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0003.json,20240813_0013_IV-Corps-in-the-Italian-Campaign-1.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0002.json,20240813_0012_Advance-of-the-XV-Corps.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0110.json,0006_Bridges-to-Berlin.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0055.json,20240419_0013_533d-Nov-1943-Oct-1945-a.tif|20240419_0013_533d-Nov-1943-Oct-1945-b.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0106.json,"The-36th-Infantry-Division-campaigns-in-France,-Germany,-Austria.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0043.json,20240419_0014_Philippine-Campaign.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0014.json,20240422_0019_Blackhawks-in-WWII.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0038.json,0009_215-FA-Bn.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0096.json,Battle-route-of-the-XII-Corps-in-the-European-Theater-of-Operations_1.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0059.json,20240418_0004_Another-Year-w-951st.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0018.json,20240813_0029_87th-Golden-Acorn-Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0063.json,0004_Roll-on-110th.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0126.json,0028_Transportation-Corps.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0034.json,20240813_0024_36th Infantry Division.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0022.json,20240418_0001_292-Engineer-Battalion.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0075.json,20240423_0027_100th-Infantry_1_Nov-1944-May-1945.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0130.json,"Major-Operations-of-the-Thirty-sixth-Armored-Infantry-Regiment,-18-June-1944---25-April-1945,-Normandy,-Northern-France,-Ardennes,-Rhineland,-Central-Europe.tif"
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0029.json,20240419_0011_517-attack.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0068.json,20240813_0033_Trek of the 5th Armored.tif
https://tamulib-dc-labs.github.io/custom-iiif-manifests/manifests/service-maps-2026/service_maps_0087.json,20240423_0023_1115-Engineer-Combat-Group_0001.tif
